협력사,품번,품명,등급,제작동관중량,시점,이전원재료비,이후원재료비,원재료비증가,사급부품가,가공비(고정),이전판가,이후판가,판가증가,최근납품가
미래정밀,AJR74364924-4-1,"Tube,Connector",일반CU,0.0254,작년(7.5k),193,515,322,405,194,792,1114,322,1154
미래정밀,AJR74364911-4-2,"Tube,Connector",일반CU,0.0248,작년(7.5k),188,501,313,405,197,790,1103,313,1168
미래정밀,AJR74364924-4-2,"Tube,Connector",일반CU,0.023,작년(7.5k),174,464,290,405,193,772,1062,290,1114
미래정밀,AJR74803521-4-1,"Tube,Connector",일반CU,0.0483,올해(20k),139,370,231,1244,637,2020,2251,231,2554
미래정밀,AJR30008101-4-1,"Tube,Connector",일반CU,0.046,올해(20k),132,353,221,390,385,907,1128,221,1200
미래정밀,AJR74364921-4-4,"Tube,Connector",일반CU,0.0172,작년(7.5k),130,347,217,405,172,707,924,217,823
미래정밀,AJR74364911-4-3,"Tube,Connector",일반CU,0.0165,작년(7.5k),125,333,208,405,174,704,912,208,1013
미래정밀,AJR74364919-4-3,"Tube,Connector",일반CU,0.0159,작년(7.5k),120,320,200,405,171,696,896,200,823
미래정밀,AJR30089601-4-1,Tube Connector,일반CU,0.0327,올해(20k),94,251,157,390,331,815,972,157,1092
미래정밀,AJR74364912-4-1,"Tube,Connector",일반CU,0.0122,작년(7.5k),93,248,155,390,186,669,824,155,895
미래정밀,AJJ76602101-4-1,Tube Connector,일반CU,0.0311,올해(20k),88,236,148,92,263,443,591,148,700
미래정밀,AJR68019502-4-1,"Tube,Connector",일반CU,0.0115,작년(7.5k),87,232,145,538,183,808,953,145,1309
미래정밀,AJR30089614-4-1,미래 SUB,고강도CU,0.0054,작년(7.5k),70,205,135,0,110,180,315,135,772
미래정밀,AJR30089615-4-1,미래 SUB,고강도CU,0.0054,작년(7.5k),70,205,135,0,168,238,373,135,765
미래정밀,AJR74364921-4-3,"Tube,Connector",일반CU,0.0279,올해(20k),79,211,132,405,198,682,814,132,914
