품번,견적유형(Assy/하위),최근생산월,생산건수
AJJ74578703,,,
AJJ74578704,,,
AJJ74618301,Assy,,
AJJ74618301-SUB,,,
AJJ74618306-SUB,,,
AJJ75178301,,,
AJJ75318301,,,
AJJ75318301-SUB,,,
AJJ75358401,,,
AJJ75358401-SUB,,,
AJJ75358404,,,
AJJ75358404-SUB,,,
AJJ75358427,,,
AJJ75358427-SUB,,,
AJJ75358428,,,
AJJ75358428-SUB,,,
AJJ75358439,,,
AJJ75358441,,,
AJJ75358443,,,
AJJ75358444,,,
AJJ75358446,,,
AJJ75639409,,,
AJJ75639409-SUB,,,
AJJ75698301,,,
AJJ75698802,,,
AJJ75698803,Assy,,
AJJ75698803-SUB,사급부품,,
AJJ75698804,Assy,,
AJJ75698804-SUB,사급부품,,
AJJ75698806-SUB,,,
AJJ75838610-SUB,,,
AJJ75838622,,,
AJJ75838625,,,
AJJ75838626,,,
AJJ75838627,,,
AJJ75918509,,,
AJJ75918509-SUB,,,
AJJ76318301,,,
AJJ76318301-SUB,,,
AJJ76418701,Assy,,
AJJ76418701-SUB,사급부품,,
AJJ76418702,Assy,,
AJJ76418702-SUB,사급부품,,
AJJ76418703,Assy,,
AJJ76418703-SUB,사급부품,,
AJJ76418704,Assy,,
AJJ76418704-SUB,사급부품,,
AJJ76418705,Assy,,
AJJ76418705-SUB,사급부품,,
AJJ76418706,Assy,,
AJJ76418706-SUB,사급부품,,
AJJ76418707,Assy,,
AJJ76418707-SUB,사급부품,,
AJJ76418720,Assy,,
AJJ76418720-SUB,사급부품,,
AJJ76418721,Assy,,
AJJ76418721-SUB,사급부품,,
AJJ76418722,Assy,,
AJJ76418722-SUB,사급부품,,
AJJ76418723,Assy,,
AJJ76418723-SUB,사급부품,,
AJJ76418724,Assy,,
AJJ76418724-SUB,사급부품,,
AJJ76418725,Assy,,
AJJ76418725-SUB,사급부품,,
AJJ76418727,Assy,,
AJJ76418727-SUB,사급부품,,
AJJ76418728,Assy,,
AJJ76418728-SUB,사급부품,,
AJJ76418729,Assy,,
AJJ76418729-SUB,사급부품,,
AJJ76559001,Assy,,
AJJ76559001-SUB,사급부품,,
AJJ76559002,Assy,,
AJJ76559002-SUB,사급부품,,
AJJ76559003,Assy,,
AJJ76559003-SUB,사급부품,,
AJJ76559004,Assy,,
AJJ76559004-SUB,사급부품,,
AJJ76559005,Assy,,
AJJ76559005-SUB,사급부품,,
AJJ76559006,Assy,,
AJJ76559006-SUB,사급부품,,
AJJ76559007,Assy,,
AJJ76559007-SUB,사급부품,,
AJJ76559008,Assy,,
AJJ76559008-SUB,사급부품,,
AJJ76559009,Assy,,
AJJ76559009-SUB,사급부품,,
AJJ76559010,Assy,,
AJJ76559010-SUB,사급부품,,
AJJ76559011,Assy,,
AJJ76559011-SUB,사급부품,,
AJJ76559012,Assy,,
AJJ76559012-SUB,사급부품,,
AJJ76559013,Assy,,
AJJ76559013-SUB,사급부품,,
AJJ76559014,Assy,,
